,X0_of_M
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,1
79,1
80,1
81,0
82,0
83,1
84,1
85,1
86,0
87,0
88,1
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,0
122,0
123,1
124,0
125,0
126,0
