,X_of_M
0,0
1,1
2,1
3,0
4,1
5,1
6,1
7,1
8,0
9,0
10,1
11,1
12,1
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,1
21,0
22,0
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,0
99,1
100,1
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,0
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,0
117,1
118,0
119,1
120,0
121,1
122,0
123,0
124,0
125,0
126,1
